================ 扩展映射验证完整结果 ================
测试总文件数：173
推测系统最可能的映射策略：Block RevSub [I16..I1, Q16..Q1]
平均匹配误差：5.54 / 32 bits

【所有被测试文件的最佳匹配详情】
文件编号  | 最佳相位假说     | 时间 T  | 误差/32 | 映射假说
File 168 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 169 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 170 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 171 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 172 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 173 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)

【整体误差分布】
 错  4~ 5 位: 40 个文件
 错  6~ 7 位: 133 个文件
